fanta_team,role,player,team,image
ssc mozzarella,P,Rui Patrício,Roma,https://content.fantacalcio.it/web/campioncini/card2021/RUI-PATRICIO.png
ssc mozzarella,P,Jeroen Zoet,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/ZOET.png
ssc mozzarella,D,Berat Gjimshiti,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DJIMSITI.png
ssc mozzarella,D,Denzel Dumfries,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DUMFRIES.png
ssc mozzarella,D,Ibañez,Roma,https://content.fantacalcio.it/web/campioncini/card2021/IBANEZ.png
ssc mozzarella,D,Luiz Felipe,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LUIZ-FELIPE.png
ssc mozzarella,D,Mário Rui,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MARIO-RUI.png
ssc mozzarella,D,Chris Smalling,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SMALLING.png
ssc mozzarella,D,Arthur Theate,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/THEATE.png
ssc mozzarella,D,Fikayo Tomori,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/TOMORI.png
ssc mozzarella,C,Remo Freuler,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/FREULER.png
ssc mozzarella,C,Stanislav Lobotka,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/LOBOTKA.png
ssc mozzarella,C,Maxime Lopez,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/LOPEZ-M.png
ssc mozzarella,C,Henrikh Mkhitaryan,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MKHITARYAN.png
ssc mozzarella,C,Roberto Pereyra,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PEREYRA.png
ssc mozzarella,C,Fabián,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/RUIZ.png
ssc mozzarella,C,Riccardo Sottil,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/SOTTIL.png
ssc mozzarella,C,Lucas Torreira,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/TORREIRA.png
ssc mozzarella,A,Federico Bonazzoli,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/BONAZZOLI.png
ssc mozzarella,A,Gianluca Caprari,Verona,https://content.fantacalcio.it/web/campioncini/card2021/CAPRARI.png
ssc mozzarella,A,Manolo Gabbiadini,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/GABBIADINI.png
ssc mozzarella,A,Victor Osimhen,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/OSIMHEN.png
ssc mozzarella,A,Leonardo Pavoletti,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/PAVOLETTI.png
ssc mozzarella,A,Matteo Politano,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/POLITANO.png
